127.0.0.1, 2018-11-04 09:19:23, POST, /admin/default/edit/examples/views/default/examples.html, HTTP/1.1, 200, 0.145074
127.0.0.1, 2018-11-04 09:19:25, POST, /admin/default/edit/examples/views/default/examples.html, HTTP/1.1, 200, 0.041975
127.0.0.1, 2018-11-04 09:19:28, GET, /examples/default/examples, HTTP/1.1, 200, 1.750931
127.0.0.1, 2018-11-04 09:20:26, GET, /examples/default/index, HTTP/1.1, 200, 0.102937
127.0.0.1, 2018-11-04 09:20:42, GET, /examples/default/index, HTTP/1.1, 200, 0.113920
127.0.0.1, 2018-11-04 09:21:31, GET, /examples/default/index, HTTP/1.1, 200, 0.104934
127.0.0.1, 2018-11-04 09:21:34, GET, /admin/default/edit/examples/views/default/examples.html, HTTP/1.1, 200, 0.031983
127.0.0.1, 2018-11-04 09:21:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:21:34, GET, /admin/default/edit/examples/views/default/examples.html, HTTP/1.1, 200, 0.083951
127.0.0.1, 2018-11-04 09:21:34, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.091939
127.0.0.1, 2018-11-04 09:21:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.726549
127.0.0.1, 2018-11-04 09:21:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.834482
127.0.0.1, 2018-11-04 09:21:35, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.773520
127.0.0.1, 2018-11-04 09:21:35, GET, /examples/appadmin/hooks, HTTP/1.1, 200, 0.862466
127.0.0.1, 2018-11-04 09:21:39, GET, /admin/default/peek/examples/views/default/examples.html, HTTP/1.1, 200, 4.477227
127.0.0.1, 2018-11-04 09:21:40, GET, /favicon.ico, HTTP/1.1, 400, 0.002995
127.0.0.1, 2018-11-04 09:21:43, GET, /admin/default/design/examples, HTTP/1.1, 200, 2.537487
127.0.0.1, 2018-11-04 09:21:43, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2018-11-04 09:21:44, GET, /admin/default/site, HTTP/1.1, 200, 0.422738
127.0.0.1, 2018-11-04 09:21:45, GET, /favicon.ico, HTTP/1.1, 400, 0.002998
127.0.0.1, 2018-11-04 09:28:30, POST, /admin/default/site, HTTP/1.1, 200, 0.060961
127.0.0.1, 2018-11-04 09:28:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:28:46, POST, /admin/default/site, HTTP/1.1, 303, 3.777165
127.0.0.1, 2018-11-04 09:28:46, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 0.173894
127.0.0.1, 2018-11-04 09:28:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/default/index, HTTP/1.1, 200, 2.050623
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004997
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007993
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/css/calendar.css, HTTP/1.1, 200, 0.004998
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007995
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/js/jquery.js, HTTP/1.1, 200, 0.005997
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/js/calendar.js, HTTP/1.1, 200, 0.004995
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/js/web2py.js, HTTP/1.1, 200, 0.006996
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004997
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004997
127.0.0.1, 2018-11-04 09:29:08, GET, /helloWorld/static/images/background.jpg, HTTP/1.1, 404, 0.003996
127.0.0.1, 2018-11-04 09:29:09, GET, /helloWorld/static/images/favicon.ico, HTTP/1.1, 200, 0.004999
127.0.0.1, 2018-11-04 09:30:14, GET, /, HTTP/1.1, 303, 0.005998
127.0.0.1, 2018-11-04 09:30:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.332793
127.0.0.1, 2018-11-04 09:30:21, GET, /helloWorld, HTTP/1.1, 200, 0.351782
127.0.0.1, 2018-11-04 09:30:21, GET, /helloWorld/static/images/background.jpg, HTTP/1.1, 404, 0.002997
127.0.0.1, 2018-11-04 09:30:47, GET, /helloWorld/default/index, HTTP/1.1, 200, 0.346785
127.0.0.1, 2018-11-04 09:30:47, GET, /helloWorld/static/images/background.jpg, HTTP/1.1, 404, 0.004000
127.0.0.1, 2018-11-04 09:30:59, GET, /helloWorld/default/index, HTTP/1.1, 200, 0.357780
127.0.0.1, 2018-11-04 09:30:59, GET, /helloWorld/static/images/background.jpg, HTTP/1.1, 404, 0.003997
127.0.0.1, 2018-11-04 09:31:22, GET, /admin/default/peek/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.032978
127.0.0.1, 2018-11-04 09:31:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2018-11-04 09:31:39, GET, /helloWorld/default/index, HTTP/1.1, 200, 0.344789
127.0.0.1, 2018-11-04 09:31:45, GET, /admin/default/peek/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.289820
127.0.0.1, 2018-11-04 09:31:46, GET, /favicon.ico, HTTP/1.1, 400, 0.002995
127.0.0.1, 2018-11-04 09:32:09, GET, /helloWorld/default/index, HTTP/1.1, 200, 0.354785
127.0.0.1, 2018-11-04 09:32:15, GET, /admin/default/peek/helloWorld/views/default/index.html, HTTP/1.1, 200, 0.479710
127.0.0.1, 2018-11-04 09:32:15, GET, /favicon.ico, HTTP/1.1, 400, 0.002996
127.0.0.1, 2018-11-04 09:32:19, GET, /helloWorld/default/index, HTTP/1.1, 200, 0.356783
127.0.0.1, 2018-11-04 09:32:58, GET, /admin/default/peek/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.035977
127.0.0.1, 2018-11-04 09:32:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:33:26, GET, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.279827
127.0.0.1, 2018-11-04 09:33:27, GET, /favicon.ico, HTTP/1.1, 400, 0.002997
127.0.0.1, 2018-11-04 09:33:27, GET, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.428734
127.0.0.1, 2018-11-04 09:33:27, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.701563
127.0.0.1, 2018-11-04 09:33:27, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.733546
127.0.0.1, 2018-11-04 09:33:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.801505
127.0.0.1, 2018-11-04 09:33:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.458716
127.0.0.1, 2018-11-04 09:33:29, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 2.554416
127.0.0.1, 2018-11-04 09:33:35, POST, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.033978
127.0.0.1, 2018-11-04 09:33:50, POST, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.159902
